name	category	url
ScienceDirect Publication: Science Bulletin	unknown	https://rss.sciencedirect.com/publication/science/20959273
ScienceDirect Publication: Solar Energy Advances	unknown	https://rss.sciencedirect.com/publication/science/26671131
ScienceDirect Publication: Solar Energy Materials and Solar Cells	unknown	https://rss.sciencedirect.com/publication/science/09270248
ScienceDirect Publication: Solid-State Electronics	unknown	https://rss.sciencedirect.com/publication/science/00381101
ScienceDirect Publication: Superlattices and Microstructures	unknown	https://rss.sciencedirect.com/publication/science/07496036
ScienceDirect Publication: Synthetic Metals	unknown	https://rss.sciencedirect.com/publication/science/03796779
Sensors	unknown	https://www.mdpi.com/rss/journal/sensors
Solar	unknown	https://www.mdpi.com/rss/journal/solar
Solids	unknown	https://www.mdpi.com/rss/journal/solids
Surfaces	unknown	https://www.mdpi.com/rss/journal/surfaces
Sustainability	unknown	https://www.mdpi.com/rss/journal/sustainability
Symmetry	unknown	https://www.mdpi.com/rss/journal/symmetry
tandf: High Pressure Research: Table of Contents	unknown	https://www.tandfonline.com/action/showFeed?type=etoc&feed=rss&jc=ghpr20
tandf: International Journal of Electronics: Table of Contents	unknown	https://www.tandfonline.com/action/showFeed?type=etoc&feed=rss&jc=tetn
Technologies	unknown	https://www.mdpi.com/rss/journal/technologies
Thin Solid Films	unknown	https://rss.sciencedirect.com/publication/science/00406090
unknown	unknown	https://link.springer.com/search.rss?query=*&facet-journal-id=10427&sortOrder=newest
unknown	unknown	https://link.springer.com/search.rss?query=*&facet-journal-id=543&sortOrder=newest
unknown	unknown	https://pubs.acs.org/action/showFeed?jc=aaemcq&type=etoc&feed=rss
unknown	unknown	https://pubs.acs.org/action/showFeed?jc=aelccp&type=etoc&feed=rss
Water	unknown	https://www.mdpi.com/rss/journal/water
Wiley: Advanced Electronic Materials: Table of Contents	unknown	https://onlinelibrary.wiley.com/feed/2199160X/most-recent
Wiley: Advanced Energy Materials: Table of Contents	unknown	https://onlinelibrary.wiley.com/feed/16146840/most-recent
Wiley: Advanced Functional Materials: Table of Contents	unknown	https://onlinelibrary.wiley.com/feed/16163028/most-recent
Wiley: Advanced Materials Technologies: Table of Contents	unknown	https://onlinelibrary.wiley.com/feed/2365709X/most-recent
Wiley: Advanced Materials: Table of Contents	unknown	https://onlinelibrary.wiley.com/feed/15214095/most-recent
Wiley: Advanced Science: Table of Contents	unknown	https://onlinelibrary.wiley.com/feed/21983844/most-recent
Wiley: ChemPhysChem: Table of Contents	unknown	https://onlinelibrary.wiley.com/feed/14397641/most-recent
Wiley: Chinese Journal of Chemistry: Table of Contents	unknown	https://onlinelibrary.wiley.com/feed/16147065/most-recent
Wiley: Electronics Letters: Table of Contents	unknown	https://ietresearch.onlinelibrary.wiley.com/feed/1350911x/most-recent
Wiley: ENERGY & ENVIRONMENTAL MATERIALS: Table of Contents	unknown	https://onlinelibrary.wiley.com/feed/25750356/most-recent
Wiley: Energy Science & Engineering: Table of Contents	unknown	https://onlinelibrary.wiley.com/feed/20500505/most-recent
Wiley: IET Power Electronics: Table of Contents	unknown	https://ietresearch.onlinelibrary.wiley.com/feed/17554543/most-recent
Wiley: International Journal of Circuit Theory and Applications: Table of Contents	unknown	https://onlinelibrary.wiley.com/feed/1097007X/most-recent
Wiley: Plasma Processes and Polymers: Table of Contents	unknown	https://onlinelibrary.wiley.com/feed/16128869/most-recent
Wiley: Small Structures: Table of Contents	unknown	https://onlinelibrary.wiley.com/feed/26884062/most-recent
Wiley: Small: Table of Contents	unknown	https://onlinelibrary.wiley.com/feed/16136829/most-recent
Wiley: Solar RRL: Table of Contents	unknown	https://onlinelibrary.wiley.com/feed/2367198x/most-recent
